award_show,category,year,winner,film,notes
Lux Style Awards,Best Television Actress (Viewers' Choice),2022,Ayeza Khan,Chupke Chupke,(Hum TV) Mahira Khan - Hum Kahan Ke Sachay Thay (Hum TV) Yumna Zaidi - Dil Na Umeed To Nahi (TV One) Dur-e-Fishan Saleem - Pardes (ARY Digital) Minal Khan - Ishq Hai (ARY Digital)
Lux Style Awards,Best Television Actor (Critics' Choice),2022,Ahmed Ali Akbar,Parizaad,(Hum TV) Bilal Abbas Khan - Dunk (ARY Digital) Nauman Ijaz - Raqeeb Se (Hum TV) Imran Ashraf - Raqs-e-Bismil (Hum TV) Sarmad Khoosat - Pardes (ARY Digital)
Lux Style Awards,Best Television Actress (Critics' Choice),2022,Hadiqa Kiani,Raqeeb Se,(Hum TV) Iqra Aziz - Raqeeb Se (Hum TV) Mahira Khan - Hum Kahan Ke Sachay Thay (Hum TV) Yumna Zaidi - Dil Na Umeed To Nahi (TV One) Kubra Khan - Hum Kahan Ke Sachay Thay (Hum TV)
Lux Style Awards,Best Television Director,2022,Kashif Nisar,Raqeeb Se,(Hum TV) Kashif Nisar - Dil Na Umeed To Nahi (TV One) Farooq Rind - Hum Kahan Ke Sachay Thay (Hum TV) Shahzad Kashmiri - Parizaad (Hum TV) Wajahat Rauf - Raqs-e-Bismil (Hum TV)
Lux Style Awards,Best Television Writer,2022,Hashim Nadeem,Parizaad,(Hum TV) Amna Mufti - Dil Na Umeed To Nahi (TV One) Saima Akram Chaudhry - Ishq Jalebi (Geo TV) Sarwat Nazir - Pardes (ARY Digital) Bee Gul - Raqeeb Se (Hum TV)
Lux Style Awards,Best Television Long Play,2022,Rang Mahal,,(Geo TV) Ishq Jalebi (Geo TV) Mohlat (Geo TV) Nand (ARY Digital) Benaam (ARY Digital)
Lux Style Awards,Best Emerging Talent in Television,2022,Hadiqa Kiani,Raqeeb Se,(Hum TV) Aymen Saleem - Chupke Chupke (Hum TV) Momin Saqib - Raqs-e-Bismil (Hum TV) Hassan Sheheryar Yasin - Pehli Si Muhabbat (ARY Digital) Talha Chahour - Jo Bichar Gaye (Geo TV)
Lux Style Awards,Best Television Track,2022,Khuda Aur Mohabbat,,(Geo TV) - Sung by: Rahat Fateh Ali Khan & Nish Asher; Composed by: Naveed Nashad Fitoor (Geo TV) Parizaad (Hum TV) Hum Kahan Ke Sachay Thay (Hum TV) Chupke Chupke (Hum TV)
Lux Style Awards,Best Song of the Year,2022,Afsanay,,"- Young Stunners ""Balaghal Ula Bi Kamaalihi"" - Ali Zafar ""Haaray"" - Abdul Hannan ""Larsha Pekhawar"" - Ali Zafar & Gul Panra ""Na Cher Malangaan"" - Farhan Saeed & Aima Baig"
Lux Style Awards,Best Singer of the Year,2022,Ali Zafar,,"- ""Pehli Si Muhabbat (Unplugged)"" - ""Balaghal Ula Bi Kamaalihi"" - ""Paharon Ki Qasam"" Young Stunners - ""Afsanay"" Young Stunners - ""Why Not Meri Jaan"
Lux Style Awards,Best Music Youth Icon,2022,Khawaja Danish Saleem,,Maanu Natasha Baig
Lux Style Awards,Best Music Producer,2022,Abdullah Siddiqui,,Sameer Baig Sinnan Fazwani & Zahid Qureshi Talal Qureshi
Lux Style Awards,Best Live Performance,2022,Natasha Baig,Lahooti Melo,Ali Tariq - Cedar College Ali Tariq - The Carnival of Spirits Taha G - Mann Mein Tu Taha G - Pyaar Da Meter
Lux Style Awards,Best Fashion Model of the Year,2022,Nimra Jacob,,Fahmeen Ansari Maha Tahirani Mushk Kaleem Sachal Afzal
Lux Style Awards,Best Fashion Forward Brand,2022,Hussa,Rehar,Ali Xeeshan Fahad Hussayn Generation Kamiar Rokni
Lux Style Awards,Best Fashion Makeup & Hair Artist,2022,Sunil Nawab,,Arshad Khan Leonard Dscorpio Shainal Syed Hussain
Lux Style Awards,Best Fashion Photographer/Videographer,2022,Ashna Khan,,Aleena Naqvi Farhan Sherwani (Stopstyle) Hussain Mahmood (MHM Photography) Umair Bin Nisar
Lux Style Awards,Best Fashion Stylist,2022,Yasser Dar,,Alishay Adnan Maheen Shayanae Mavi Kayani Zahra Sarfaraz
Lux Style Awards,Best Fashion Style Icon,2022,Fouzia Aman,,Hasnain Lehri
Lux Style Awards,Chairperson's Lifetime Achievement Award,2022,Anjuman,,
Lux Style Awards,Life Time Achievement Award in Fashion,2022,Fifi Haroon,,
Lux Style Awards,Lux Changemaker Award,2022,Nazia Hassan,,
Lux Style Awards,Best Film (Viewers' Choice),2023,,Quaid-e-Azam Zindabad,Tich Button Joyland London Nahi Jaunga Kamli
Lux Style Awards,Best Film (Critics' Choice),2023,,Kamli,Joyland Dum Mastam Ghabrana Nahi Hai Quaid-e-Azam Zindabad
Lux Style Awards,Best Film Actor,2023,Feroze Khan,,- Tich Button Farhan Saeed - Tich Button Humayun Saeed - London Nahi Jaunga Fahad Mustafa - Quaid-e-Azam Zindabad Imran Ashraf - Dum Mastam
Lux Style Awards,Best Film Actress,2023,Saba Qamar,,- Kamli Hania Amir - Parde Mein Rehne Do Kubra Khan - London Nahi Jaunga Mahira Khan - Quaid-e-Azam Zindabad Alina Khan - Joyland
Lux Style Awards,Best Film Director,2023,Sarmad Khoosat,,- Kamli Saim Sadiq - Joyland Yasir Nawaz - Chakkar Wajahat Rauf - Parde Mein Rehne Do
Lux Style Awards,Best Film Song,2023,,"Peela Rung"" from","Parde Mein Rehne Do - Hassan Ali Hashmi, Nehaal Naseem ""Mainu Tu "" from Kamli ""Ehsaan Hai Tumhara"" from Tich Button ""Mahiya Ve Mahiya"" from London Nahi Jaunga ""Loota Rey"" from Quaid-e-Azam Zindabad"
Lux Style Awards,Best TV Play (Viewers' Choice),2023,Kaisi Teri Khudgarzi,,(ARY Digital) Hum Tum (Hum TV) Mere Humsafar (ARY Digital) Sinf-e-Aahan (ARY Digital) Sang-e-Mah (Hum TV)
Lux Style Awards,Best Ensemble Play (Critics' Choice),2023,Sinf,e-Aahan,(ARY Digital) Hum Tum (Hum TV) Mere Humsafar (ARY Digital) Badshah Begum (Hum TV) Sang-e-Mah (Hum TV)
Lux Style Awards,Best Television Actor (Viewers' Choice),2023,Arslan Naseer,Paristan (Hum TV),Farhan Saeed - Mere Humsafar (ARY Digital) Atif Aslam - Sang-e-Mah (Hum TV) Danish Taimoor - Kaisi Teri Khudgarzi (ARY Digital) Feroze Khan - Habs (ARY Digital)
Lux Style Awards,Best Television Actress (Viewers' Choice),2023,Yumna Zaidi,Bakhtawar,(Hum TV) Ramsha Khan - Hum Tum (Hum TV) Hania Amir - Mere Humsafar (ARY Digital) Ayeza Khan - Chaudhry and Sons (Geo Entertainment) Hiba Bukhari - Meray Humnasheen (Geo Entertainment)
Lux Style Awards,Best Television Actor (Critics' Choice),2023,Bilal Abbas Khan,Dobara (Hum TV),Farhan Saeed - Mere Humsafar (ARY Digital) Noman Ijaz - Kaisi Teri Khudgarzi (ARY Digital) Yasir Hussain - Aik Thi Laila (Express Entertainment) Faysal Quraishi - Dil-e-Momin (Geo Entertainment)
Lux Style Awards,Best Television Actress (Critics' Choice),2023,Yumna Zaidi,Bakhtawar (Hum TV),Hania Amir - Mere Humsafar (ARY Digital) Iqra Aziz - Aik Thi Laila (Express Entertainment) Sajal Aly - Sinf-e-Aahan (ARY Digital) Hadiqa Kiani - Dobara (Hum TV)
Lux Style Awards,Best Television Director,2023,Saife Hassan,Sang-e-Mah (Hum TV),Shahid Shafaat - Bakhtawar (Hum TV) Ahson Talish - Chauraha (Geo Entertainment) Yasir Hussain - Aik Thi Laila (Express Entertainment) Nadeem Baig - Sinf-e-Aahan (ARY Digital)
Lux Style Awards,Best Television Writer,2023,Mustafa Afridi,Sang-e-Mah (Hum TV),Nadia Ahmed - Bakhtawar (Hum TV) Faiza Iftikhar - Aik Thi Laila (Express Entertainment) Qaisra Hayat - Ishq-e-Laa (Hum TV) Umera Ahmed - Sinf-e-Aahan (ARY Digital)
Lux Style Awards,Best Television Long Play,2023,Betiyaan,,(ARY Digital) Paristan (Hum TV) Mushkil (Geo Entertainment) Siyani (Geo Entertainment) Woh Pagal Si (ARY Digital)
Lux Style Awards,Best Emerging Talent in Television,2023,Dananeer Mobeen,Sinf-e-Aahan (ARY Digital),Atif Aslam - Sang-e-Mah (Hum TV) Sachal Afzal - Bakhtawar (Hum TV) Janice Tessa - Habs (ARY Digital) Azaan Sami Khan - Ishq E Laa (Hum TV)
Lux Style Awards,Best Television Track,2023,Mere Humsafar,,"(ARY Digital) - Sung by: Amanat Ali, Yashal Shahid and Zaheer Abbas; Composed by: Naveed Nashad Hum Tum (Hum TV) Sung by: Ali Zafar, Damia Farooq; Composed by: Naveed Nashad Kaisi Teri Khudgarzi (ARY "
Lux Style Awards,Singer of the Year,2023,Ali Sethi,,"- ""Pasoori"" Abida Parveen - ""Tu Jhoom"" Asfar Hussain - ""Mehram"" Asim Azhar - ""Habibi"" Kaifi Khalil - ""Kan Yaari"
Lux Style Awards,Song of the Year,2023,Kahani Suno,Kaifi Khalil,"Pasoori - Ali Sethi & Shae Gill ""Habibi"" - Asim Azhar ""Saaz"" - Auj ""Tu Jhoom"" - Abida Parveen & Naseebo Lal"
Lux Style Awards,Most Streamed Song of the Year,2023,Pasoori,Ali Sethi & Shae Gill,"Iraaday"" - Abdul Hannan ""Mehram"" - Asfar Hussain & Arooj Aftab ""Phir Milenge"" - Faisal Kapadia &Young Stunners ""Ye Dunya""- Talha Anjum, Faris Shafi & Karakoram"
Lux Style Awards,Music Producer of the Year,2023,Abdullah Siddiqui,,"& Xulfi - ""Pasoori"" & Xulfi - ""Tu Jhoom"" , Xulfi, Arsalan Hasan & Sherry Khattak - ""Kana Yaari"" Xulfi & - ""Phir Milenge"" Zain & Xulfi - ""Thagyan"
Lux Style Awards,Emerging Talent of the Year,2023,Abeer Asad,,Aisha Kamran Maleena Mansoor Mamya Shajaffar Sauban Umais
Lux Style Awards,Fashion Model of the Year (Male/Female),2023,Maha Tahirani,,Sachal Afzal Sauban Umais Abeer Asad Fatima Hasan
Lux Style Awards,Fashion Forward Brand of the Year,2023,Hussa,Rehar,Khaadi Sania Maskatiya Suffuse by Sana Yasir Zainab Salman
Lux Style Awards,Fashion Photographer/ Videographer of the Year,2023,Aleena Naqvi,,Asad bin Javed HM Studio MHM OKB Films
Lux Style Awards,Fashion Hair and Make-up Artist of the Year,2023,Sunil Nawab,,Arshad Khan Qasim Liaqat Salman at NABILA's Shainal Pervaiz
Lux Style Awards,Fashion Stylist of the Year,2023,Tabesh Khoja,,Hafsa Farooq Mehek Saeed Yasser Dar Zahra Sarfraz
Lux Style Awards,Most Stylish Musician of the Year,2023,Meesha Shafi,,Aima Baig Risham Faiz Taha G Talhah Yunus
Lux Style Awards,Life Time Achievement Award,2023,Reema Khan,,
Lux Style Awards,Lux Changemaker Award,2023,Marina Khan,,
Lux Style Awards,Best Film (Viewers' Choice),2024,,Gunjal,Babylicious Chikkar John Teri Meri Kahaniyaan
Lux Style Awards,Best Film (Critics' Choice),2024,,Gunjal,Wakhri Chikkar John Teri Meri Kahaniyaan
Lux Style Awards,Best Film Actor,2024,Wahaj Ali,,- Teri Meri Kahaniyaan Ahmed Ali Akbar - Gunjal Fawad Khan - Money Back Guarantee Muneeb Ali - Sanak Sheheryar Munawar - Teri Meri Kahaniyaan
Lux Style Awards,Best Film Actress,2024,Romaisa Khan,John,Hira Mani - Teri Meri Kahaniyaan Mehwish Hayat - Teri Meri Kahaniyaan Ramsha Khan - Teri Meri Kahaniyaan Syra Yousuf - Babylicious
Lux Style Awards,Best Film Director,2024,Shoaib Sultan,Gunjal,Babar Ali - John Nabeel Queshi - Teri Meri Kahaniyaan Nadeem Baig - Teri Meri Kahaniyaan Zaheer Uddin - Chikkar
Lux Style Awards,Best Film Song,2024,,Kahaniyaan -Teri Meri Kahaniyaan,Andhera - Gunjal Baaghi - Wakhri Chitthiyan - John Ding Dung - Gunjal
Lux Style Awards,Best TV Play (Viewers' Choice),2024,Tere Bin,,(Geo Entertainment) Kuch Ankahi (ARY Digital) Mein (ARY Digital) Mujhe Pyaar Hua Tha (ARY Digital) Tere Ishq Ke Naam (ARY Digital)
Lux Style Awards,Best Ensemble Play (Critics' Choice),2024,Kabli Pulao (Green Entertainment),,Baby Baji (ARY Digital) Kuch Ankahi (ARY Digital) Razia (Express Entertainment) Sar e Rah (ARY Digital)
Lux Style Awards,Best Television Actor (Viewers' Choice),2024,Wahaj Ali,,- Tere Bin (Geo Entertainment) Bilal Abbas - Kuch Ankahi (ARY Digital) Hamza Sohail - Fairy Tale 1 (Hum TV) Imran Abbas - Tumharey Husn Kay Naam (Green Entertainment) Khushhal Khan - Mohabbat Gumshuda
Lux Style Awards,Best Television Actor (Critics' Choice),2024,Ehteshamuddin,Kabli Pulao (Green Entertainment),Farhan Saeed - Jhok Sarkar (Hum TV) Khushhal Khan - Mohabbat Gumshuda Meri (Hum TV) Mikaal Zulfiqar - Jaisay Aapki Marzi (ARY Digital) Wahaj Ali - Tere Bin (Geo Entertainment)
Lux Style Awards,Best Television Actress (Viewers' Choice),2024,Yumna Zaidi,Tere Bin (Geo Entertainment),Ayeza Khan - Mein (ARY Digital) Hania Amir - Mujhe Pyaar Hua Tha (ARY Digital) Saba Qamar - Tumharey Husn Kay Naam (Green Entertainment) Sajal Ali - Kuch Ankahi (ARY Digital)
Lux Style Awards,Best Television Actress (Critics' Choice),2024,Sabeena Farooq,Kabli Pulao (Green Entertainment),Ramsha Khan - Jannat Se Aagey (Geo Entertainment) Iqra Aziz - Mannat Murad (Geo Entertainment) Saba Qamar - Tumharey Husn Kay Naam (Green Entertainment) Yumna Zaidi - Tere Bin (Geo Entertainment)
Lux Style Awards,Best Television Director,2024,Kahif Nisar,Kabli Pulao (Green Entertainment),Ahmed Bhatti - Sar e Rah (ARY Digital) Haseeb Hassan - Jannat Se Aagey (Geo Entertainment) Nadeem Baig - Kuch Ankahi (ARY Digital) Syed Wajahat Hussain - Mannat Murad (Geo Entertainment)
Lux Style Awards,Best Television Writer,2024,Zafar Mairaj,Kabli Pulao (Green Entertainment),Mohammed Ahmed - Kuch Ankahi (ARY Digital) Nadia Akhtar - Mannat Murad (Geo Entertainment) Naila Ansari - Jaisay Aapki Marzi (ARY Digital) Umera Ahmed - Jannat Se Aaagey (Geo Entertainment)
Lux Style Awards,Best Television Long Play,2024,Mayi Ri (ARY Digital),,Baby Baji (ARY Digital) Dil Hi Tou Hai (ARY Digital) Ehsaan Faramosh (ARY Digital) Sirf Tum (Geo Entertainment)
Lux Style Awards,Best Emerging Talent in Television,2024,Mamya Shajaffar,College Gate (Green Entertainment),Aina Asif - Mayi Ri (ARY Digital) Romaisa Khan - Hadsa (Geo Entertainment) Samar Abbas - Mayi Ri (ARY Digital) Shuja Asad - College Gate (Green Entertainment)
Lux Style Awards,Best Television Track,2024,Kya Hoti Hai Bewafai,Tere Bin (Geo Entertainment),Ankhain - Kabli Pulao (Green Entertainment) Fairy Tale 1 - Fairy Tale 1 (Hum TV) Mujhe Pyaar Hua Tha - Mujhe Pyaar Hua Tha (ARY Digital) Tumharey Husn Kay Naam - Tumharey Husn Kay Naam (Green Entertai
Lux Style Awards,Song of the Year,2024,Dhun,"Sunny Khan Durrani, Inqalab","Bewafaa"" - Veerays - Gohar e Nayyab ""Lesson"" - Abdullah Khan ""Tu Hai Kahan"" - Aur ""Wishes"" - Hasan Raheem, Umair, Talwiinder"
Lux Style Awards,Singer of the Year,2024,Ahmed Jahanzeb,,"- ""Tera Mera Hai Pyar"" Nehaal Naseem - ""Beaadra"" Sunny Khan Durrani - ""Geet"" Talha Anjum - ""Downers At Dusk"" Usama Ali - ""Long Time No See"
Lux Style Awards,Most Streamed Song of the Year,2024,Tera Mera Hai Pyar,Ahmed Jahanzeb,"Lesson"" - Abdullah Khan ""Shikayat"" - Aur ""Tu hai kahan"" - Aur ""Wishes"" - Hasan Raheem, Umair, Talwiinder"
Lux Style Awards,Music Producer of the Year,2024,Abdullah Siddiqui,,"- ""Wakhri"" Abdullah Kasumbi - ""Hungama"" Mekaal Hasan - ""Chamba Kitni Dur"" Sharif Awan - ""Music in Covid Times"" Umair - ""Wishes"
Lux Style Awards,Artist of the Year,2024,Bayaan,,"- ""Sapna"" Aur - ""Tu Hai Kahan"" Hasan Raheem - ""EP : Maybe, It's Love"" Natasha Noorani - ""Matlabi - Wakhri Version"" Young Stunners - ""Benz"
Lux Style Awards,Most Stylish Musician of the Year,2024,Aima Baig,Satrangi,"Faisal Kapadia - ""Jadu"" Meesha Shafi - ""Saranjaam"" Talha Anjum - ""Open Letter"" Rovalio - ""Sapna"
Lux Style Awards,Best Emerging Talent,2024,Maleena Mansoor,,Abid Bangash Amaz Butt Ghulam Nabi Hussain Rajput
Lux Style Awards,Fashion Model of the Year,2024,Jaweria Ali,,Abeer Asad Khan Eesha Asad Sauban Umais Suleman Hussain
Lux Style Awards,Best Fashion Stylist,2024,Hussa,Ejaz,Hafsa Farooq
Lux Style Awards,Fashion Hair & Makeup Artist Of The Year,2024,Shainal Parwaiz,,Arshad Khan Syed Hussain Umar Aziz
Lux Style Awards,Fashion Forward Brand Of The Year,2024,Hussa,Rehar,Fahad Hussayn HSY Munib Nawaz Sania Maskatiya
Lux Style Awards,Fashion Photographer Of The Year,2024,Aleena Naqvi,,Asad Bin Jawed Ayaz Anis Gul Ansari HM Studio
Lux Style Awards,Fashion Videographer Of The Year,2024,Omer Khalid Butt,,(OKB Films) Furqan Bhatti Usman Mehar Films
Lux Style Awards,Film Actor of the Year - Male,2025,Samar Jafri,,- Na Baligh Afraad Imran Ashraf - Kattar Karachi Talha Anjum - Kattar Karachi Usama Khan - Nayab
Lux Style Awards,Film Actor of the Year - Female,2025,Yumna Zaidi,Nayab,Ayesha Omar - Taxali Gate Kinza Hashmi - Kattar Karachi Kubra Khan - Abhi
Lux Style Awards,Film of the Year,2025,,Kattar Karachi,Glassworker Na Baligh Afraad Nayab
Lux Style Awards,Film Director of the Year,2025,Umair Nasir Ali,Nayab,Abdul Wali Baloch - Kattar Karachi M. Shahzad Malik - Leech Wajahat Rauf - Daghabaaz Dil
Lux Style Awards,Actor of the Year - Female,2025,Hania Amir,Kabhi Main Kabhi Tum,Durefishan Saleem - Ishq Murshid Durefishan Saleem - Khaie Sajal Aly - Zard Patton Ka Bunn
Lux Style Awards,Best Ensemble Play,2025,Zard Patton Ka Bunn,,(Hum TV) Duniyapur (Green Entertainment) Kabhi Main Kabhi Tum (ARY Digital) Noor Jahan ( ARY Digital)
Lux Style Awards,Actor of the Year - Male,2025,Fahad Mustafa,Kabhi Main Kabhi Tum,Bilal Abbas - Ishq Murshid Danish Taimoor - Jaan Nisar Imran Ashraf - Namak Haram
Lux Style Awards,Emerging Talent of the Year,2025,Khushhal Khan,Duniyapur,Naeema Butt - Inspector Sabiha Sahar Hashmi - Zulm Shaheera Jalil AlBasit - Burns Road kay Romeo Juliet
Lux Style Awards,Best Original Soundtrack,2025,Chal Diye Tum Kahan,,- Kabhi Main Kabhi Tum Iqtidar Sajna Da Dil Torya - Kabhi Main Kabhi Tum Zard Patton Ka Bunn
Lux Style Awards,Television Director of the Year,2025,Saife Hasan,Zard Patton Ka Bunn,Badar Mehmood - Kabhi Main Kabhi Tum Musaddiq Malek - Noor Jahan Syed Wajahat Hussain - Khaie
Lux Style Awards,Best Television Long Serial,2025,Baby Baji Ki Bahua,(ARY Digital),Adawat (ARY Digital) Hasrat (ARY Digital) Tark e Wafa (ARY Digital)
Lux Style Awards,Television Play of the Year,2025,Khaie (Geo Entertainment),,Ishq Murshid (Hum TV) Jafaa (Hum TV) Zard Patton Ka Bunn (Hum TV)
Lux Style Awards,Play of the Year,2025,Kabhi Ma,Kabhi Tum (ARY Digital),Ishq Murshid (Hum TV) Kaffara (Geo Entertainment) Khaie (Geo Entertainment)
Lux Style Awards,Television Play Writer of the Year,2025,Mustafa Afridi,Zard Patton Ka Bunn,Farhat Ishtiaq - Kabhi Main Kabhi Tum Saqlain Abbas - Khaie Zanjabeel Asim Shah - Noor Jahan
Lux Style Awards,Artist of the Year,2025,TBA,,"Hamza Malik ft. Laiba Khurram - ""LOCO"" Hasan Raheem - ""Radha"" Sarim Saeed - ""Haal"" Talha Anjum - ""Departure Lane"
Lux Style Awards,Emerging Artist of the Year,2025,TBA,,"Junaid Kamran Siddique - ""Sada Ashna"" Nayyab - ""Dil Wali Gall"" Nayyab - ""Maa"" Yamna Irfan and Haadi Uppal - ""Jaaniye"
Lux Style Awards,Song of the Year,2025,Jhol,Coke Studio,"Sadqay"" - Aashir Wajahat, NAYEL, Nehaal Naseem ""LOCO"" - Hamza Malik ft. Laiba Khurram ""Sada Ashna"" - Junaid Kamran Siddique"
Lux Style Awards,Music Producer of the Year,2025,TBA,,"Abbas Ali Khan - ""Mera Sara Tu"" Ahad John - ""Tenu Pyar"" Shabi - ""Aisa Ho Na Jaye"" Shabi - ""Bechara"
Lux Style Awards,Emerging Talent of the year,2025,TBA,,Muhammad Ali Yasoob Rehman Zunaish Shaikh
Lux Style Awards,Fashion Model of the Year Female,2025,Erica Robin,,Jaweria Ali Maleena Mansoor Sona Rafia
Lux Style Awards,Fashion Model of the Year Male,2025,Yasser Dar,,Abid BanGash Adnan Behrani Suleman Hussain
Lux Style Awards,Fashion Photographer of the Year,2025,TBA,,Asad Muhammad Suleman Avaz Anis Khan HM Studio MHM Studio
Lux Style Awards,Fashion Stylist of the Year,2025,TBA,,Arinda Tul Noor Hafsa Farooq Rao Ali Khan Yasser Dar
Lux Style Awards,Make up Artist of the Year,2025,TBA,,Arshad Khan Hussain Babar Shainal Pervaiz Syed Hussain
Lux Style Awards,Fashion Brand of the Year (Pret) - Viewers' Choice,2025,HSY,,Ansab Jahangir Humayun Alamgir Kanwal Malik
Lux Style Awards,Digital Beauty Influencer of the Year,2025,Hira Faisal,,Duaa Fatima Hemayal Sabeena Syed
Lux Style Awards,Digital Content Creator of the Year,2025,Ron And Coco,,Junaid Akram Kanwal Aftab Zulgarnain Sikandar
Lux Style Awards,Digital Trendsetter of the Year,2025,Aidah Sheikh,,Dr Zee Khan Hemayal Zainab Raza
